Hour,Load (kW)
256,1571.1442325597495
257,1528.0792924604993
258,1527.3560761795
259,1534.0981811640013
260,1495.1849368997505
261,1483.4529814674986
262,1473.1805759875003
263,1420.394442849249
264,1408.6135910675011
265,1420.9349369339989
266,1425.7970541867505
267,1431.6379596307495
268,1440.741244423501
269,1460.6088135247487
270,1502.34007750325
271,1605.1272258842503
272,1728.2154020017495
273,1748.9907849689987
274,1768.6074833552505
275,1798.7402817872503
276,1786.758219612
277,1776.7501345402502
278,1722.265423761749
279,1686.8990518670003
280,1658.405382343749
281,1612.822764326249
282,1621.2703284525
283,1639.2940302927498
284,1601.2170133027491
285,1593.0342941837491
286,1586.8199703685004
287,1534.5690219337494
288,1533.863150022251
289,1585.46425921975
290,1531.9320012012497
291,1508.0288841325
292,1516.29095327025
293,1532.33718130175
294,1537.2380826787507
295,1568.7943078762505
296,1655.5751661412496
297,1609.168863597751
298,1551.941156873499
299,1540.6409691335004
300,1542.4826341382498
301,1549.3679006832506
302,1552.7186997682488
303,1551.8337121120007
304,1549.1986270792497
305,1553.2451913884997
306,1607.8970631817506
307,1648.1370947042503
308,1659.1312314860006
309,1673.3432402829997
310,1673.9754890382508
311,1621.0110588552486
312,1616.2249900695003
313,1581.1092319602492
314,1568.5089756859984
315,1576.7451386510004
316,1582.2136424487496
317,1609.198804785751
318,1629.5577871304993
319,1645.9695950265004
320,1722.8812823539986
321,1671.793208121501
322,1636.102794218251
323,1621.92943839025
324,1620.2919137392491
325,1617.3977964450003
326,1613.5044673077487
327,1615.9130815680003
328,1619.3062654427513
329,1622.848947254748
330,1677.2757324292518
331,1720.6685348102492
332,1722.0053159727488
333,1730.7492438335005
334,1734.4602312055
335,1698.6480716317503
336,1681.7344157117484
337,1666.0329180222511
338,1751.9400410289998
339,1758.6009680545003
340,1768.9592117409998
341,1797.7919138514985
342,1861.6232423685015
343,1950.1813825205002
344,2083.19713231925
345,2098.9625648167494
346,2091.1809320135003
347,2108.8339063652493
348,2085.65593151825
349,2073.994092008751
350,2020.4490528210017
351,1986.095894900999
352,1957.05104704725
353,1907.7558781054995
354,1920.830299642999
355,1939.7136487027515
356,1902.6943703402503
357,1895.1969100890005
358,1887.6552493972492
359,1834.6899088279995
360,1812.2555589200012
361,1823.5727866337497
362,1828.2378406357495
363,1838.785354164752
364,1849.7710707554997
365,1880.8373820382487
366,1953.7092466782494
367,2056.6720365822503
368,2198.0740200702503
369,2206.7978448857502
370,2190.2502695719995
371,2192.487701044999
372,2171.780917132
373,2157.23656597175
374,2104.1297589029996
375,2070.21467453325
376,2040.3103840389992
377,1990.8371155575003
378,2000.4020494345
379,2021.0164780975015
380,1981.6601170952486
381,1970.457858249249
382,1962.6095567017499
383,1913.692192936501
384,1900.2589145577508
385,1907.6831866292505
386,1918.9072538812495
387,1930.517120339501
388,1941.0607780379987
389,1972.5949921054987
390,2036.4060406320016
391,2129.1121786517497
392,2274.1938744844992
393,2300.7206090965005
394,2301.6353353225013
395,2319.6536593015003
396,2301.4487724712512
397,2287.6243494737487
398,2235.3047505994996
399,2197.0922477249987
400,2163.5965415725
401,2115.4885837112506
402,2129.719686797751
403,2159.99341602175
404,2126.437017795249
405,2115.6140091762504
406,2103.413916140999
407,2051.4369870309993
408,2025.8052035242508
409,2028.7283968384995
410,2036.0728346875003
411,2048.87275739675
412,2059.7098707475
413,2089.6162643525
414,2154.7771360164998
415,2248.52481391625
416,2379.7753131344975
417,2393.6589921949994
418,2383.825429252
419,2396.622310805252
420,2368.245860865251
421,2346.59200211175
422,2290.9844263640007
423,2254.3306091969985
424,2222.462605371749
425,2175.2115891712497
426,2185.56668442075
427,2203.1330403052507
428,2166.826923059499
429,2159.150008513501
430,2154.226052017
431,2108.13865943725
432,2086.379234597001
433,2090.9892991620004
434,2097.3325904920002
435,2111.198824406
436,2123.4283712919996
437,2157.3249990527497
438,2216.5956236010015
439,2308.376209128749
440,2442.5500045067506
441,2445.5296359550016
442,2447.6666026404987
443,2458.4850054902504
444,2439.2601569754997
445,2429.037017396498
446,2381.231945698499
447,2350.5743401542522
448,2322.3660342155013
449,2272.0078500997506
450,2262.5665347162503
451,2292.889703574501
452,2252.7864748215
453,2236.9124227355014
454,2227.122753639
455,2187.2745518172496
456,2173.961847619
457,2202.00929017675
458,2140.2870983440007
459,2127.2485729572495
460,2131.85200922475
461,2146.951520772749
462,2153.840226876751
463,2187.3975017394996
464,2266.039079511251
465,2211.8105608962474
466,2170.743946761
467,2168.2193736207487
468,2181.3377993562503
469,2196.3387985485015
470,2199.6299477499983
471,2195.756563778751
472,2195.385175062751
473,2198.53628701825
474,2228.7601477752496
475,2283.1470168652495
476,2287.5615826772496
477,2293.22679890875
478,2285.0536826837515
479,2241.122698322252
480,2229.8165039960027
481,2210.5601821977493
482,2194.910450899999
483,2196.0251657770004
484,2199.9163354547495
485,2220.6088861972516
486,2233.52949717825
487,2250.938395341
488,2310.7437583710007
489,2249.6654880470014
490,2235.199975358001
491,2239.1169645164996
492,2251.049375561251
493,2257.4283160997506
494,2259.297282828003
495,2263.3808215357503
496,2271.3700140359997
497,2271.485361164
498,2299.835318365751
499,2351.9541410904985
500,2349.084212999499
501,2347.6913561494994
502,2338.986792978499
503,2301.445795209501
504,2291.960800935999
505,2282.275443475
506,2363.7798572947513
507,2370.770262802749
508,2383.9016608580005
509,2406.3047139969995
510,2448.140850042752
511,2539.412180131249
512,2667.074094665248
513,2678.940781546249
514,2707.5256090255007
515,2732.9498574022473
516,2717.6484124145004
517,2709.4524802957526
518,2664.12483447725
519,2629.0019197872457
520,2599.5012289809993
521,2551.489810742748
522,2538.6981038534996
523,2585.139826551749
524,2544.966890434501
525,2532.347348986001
526,2518.078071243748
527,2473.851840589747
528,2457.506853044248
529,2459.2913970317486
530,2462.3461664100014
531,2469.6532396082503
532,2480.3695881105023
533,2497.190362741501
534,2538.5469965680018
535,2641.8843949557513
536,2766.436121186251
