hour_index,total_pv_kW,total_load_kW,net_generation_kW,pv_to_load_ratio
1837,1234.81721875,268.22255472175,966.59466402825,4.603703873551114
1501,1233.13985546875,274.9044398845,958.2354155842501,4.485703655790882
2677,1263.9166171875,307.81025350975,956.1063636777499,4.106155005136338
2676,1253.8100468750001,301.7859870755,952.0240597995002,4.154633072498135
1502,1220.49828125,272.59286515225,947.90541609775,4.477366918943216
2174,1224.402421875,288.5911219785,935.8112998965,4.242689134849854
2317,1261.43509765625,327.6735144095,933.76158324675,3.849670596904391
1813,1243.34783984375,309.59511070125,933.7527291425001,4.016044804491433
1838,1224.768046875,294.851828801,929.916218074,4.1538424492790655
2318,1245.19906640625,319.34949057075,925.8495758355,3.8991734738064663
1814,1235.258875,313.54487359949997,921.7140014005,3.9396557720097714
1982,1239.01728515625,319.1038477305,919.91343742575,3.882802699138441
2654,1241.82284375,335.7971043025,906.0257394475,3.698134451252385
1646,1205.1264296875,304.53215308975,900.59427659775,3.95730438806909
1334,1172.43909765625,276.81535787949997,895.62373977675,4.235455367802126
2316,1222.952015625,328.1399282825,894.8120873425,3.7269222867788954
1645,1207.299984375,314.84317231375,892.4568120612498,3.834607470341724
1836,1160.5948359375,268.444261259,892.1505746785,4.3234108495034125
3181,1272.7976640625,385.62245112275,887.1752129397499,3.3006316334956227
1477,1202.88205859375,316.630092913,886.2519656807499,3.7990136810061523
1980,1204.75055859375,320.98580975825,883.7647488354999,3.753282912250305
3180,1256.55720703125,372.86626054225,883.690946489,3.3699943830634504
1478,1194.13448046875,315.8165714025,878.3179090662501,3.7811013886467513
1500,1153.55462109375,276.629214029,876.9254070647501,4.170039021268303
1166,1164.5570625,287.9604025795,876.5966599205001,4.044156932772493
1670,1135.59380078125,261.508128872,874.0856719092499,4.342479911951829
2652,1189.972453125,318.9972733775,870.9751797474999,3.730353042818766
1812,1181.3691796875,313.1679796005,868.201200087,3.772317902431223
3182,1257.7623671875,394.7434315335,863.0189356540002,3.186278132900311
1333,1130.08762890625,277.68798918675003,852.3996397195001,4.069630912544134
2655,1188.26468359375,336.544781968,851.71990162575,3.5307773102717657
1503,1124.0828046875,272.5024594035,851.5803452839999,4.125037267638052
2319,1152.2635078125,307.130426,845.1330818125,3.751707439303954
6877,1112.33953515625,269.3797901375,842.9597450187499,4.129261257718017
2675,1135.8997734375,295.50658469975,840.39318873775,3.8439067973653653
2679,1193.57167578125,353.85219996025,839.719475821,3.373079699779315
1668,1108.171609375,272.25936831900003,835.9122410559999,4.070279058336394
